order_id,user_id,category,price,timestamp
ORD02002,1118,图书,280.64,2025-04-24 00:02:31.513580
ORD06681,202,食品,106.49,2025-04-24 00:05:32.228137
ORD05600,2527,图书,66.92,2025-04-24 00:10:17.182835
ORD01402,1561,家居用品,79.14,2025-04-24 00:14:19.182869
ORD01438,2853,食品,47.78,2025-04-24 00:17:42.420285
ORD00365,2142,服装,147.09,2025-04-24 00:19:22.706432
ORD08288,1110,食品,203.5,2025-04-24 00:19:37.807227
ORD05351,2767,服装,99.37,2025-04-24 00:23:48.543589
ORD03809,1568,食品,231.75,2025-04-24 00:26:22.214537
ORD08131,1471,服装,103.36,2025-04-24 00:27:39.456374
ORD03644,1799,食品,437.53,2025-04-24 00:34:14.794906
ORD09584,612,食品,89.73,2025-04-24 00:35:24.937282
ORD02047,2494,电子产品,345.47,2025-04-24 00:42:48.984340
ORD07006,1876,电子产品,333.68,2025-04-24 00:45:29.503726
ORD08729,343,食品,119.75,2025-04-24 00:45:46.913883
ORD04688,2259,家居用品,116.85,2025-04-24 00:47:06.801893
ORD02439,95,电子产品,321.03,2025-04-24 00:50:53.711777
ORD04251,121,电子产品,213.42,2025-04-24 00:51:01.889957
ORD01040,1260,图书,418.81,2025-04-24 00:51:36.121229
ORD08036,2477,图书,119.6,2025-04-24 00:53:48.281967
ORD01893,2690,图书,106.97,2025-04-24 01:06:11.994697
ORD03603,1819,食品,186.0,2025-04-24 01:19:47.198932
ORD04584,2321,服装,81.21,2025-04-24 01:22:35.924241
ORD07947,1083,家居用品,246.39,2025-04-24 01:24:11.786774
ORD01823,231,图书,425.06,2025-04-24 01:28:12.323916
ORD06003,2968,食品,135.62,2025-04-24 01:31:06.804270
ORD03175,702,食品,214.28,2025-04-24 01:36:44.047318
ORD06761,2235,服装,475.14,2025-04-24 01:41:03.446954
ORD08283,2836,家居用品,95.32,2025-04-24 01:42:36.169636
ORD07463,272,图书,184.87,2025-04-24 01:43:33.242833
ORD07069,1266,图书,253.78,2025-04-24 01:43:52.534733
ORD04601,1938,家居用品,104.63,2025-04-24 01:50:39.120843
ORD00886,71,服装,291.67,2025-04-24 01:52:14.256917
ORD06335,863,电子产品,244.02,2025-04-24 01:52:26.183337
ORD01117,769,食品,129.99,2025-04-24 01:54:04.360388
ORD06462,1115,家居用品,341.96,2025-04-24 01:55:54.619346
ORD06230,804,图书,226.75,2025-04-24 01:55:59.941368
ORD01475,2620,服装,449.81,2025-04-24 01:59:03.868024
ORD02488,1614,电子产品,203.36,2025-04-24 02:00:29.756859
ORD01997,2114,图书,84.9,2025-04-24 02:00:30.525292
ORD09477,500,家居用品,282.17,2025-04-24 02:02:00.379951
ORD07343,1929,家居用品,189.26,2025-04-24 02:02:38.915509
ORD09613,2774,图书,395.56,2025-04-24 02:04:50.520385
ORD05077,241,电子产品,203.87,2025-04-24 02:11:07.249706
ORD03903,2053,食品,182.25,2025-04-24 02:18:48.380041
ORD04594,1684,家居用品,186.62,2025-04-24 02:20:14.529469
ORD02748,1017,图书,131.47,2025-04-24 02:22:11.310016
ORD01869,2142,食品,525.77,2025-04-24 02:26:29.421027
ORD01863,161,服装,45.78,2025-04-24 02:32:24.225155
ORD04793,2922,家居用品,41.15,2025-04-24 02:38:23.611989
ORD03735,2319,家居用品,242.92,2025-04-24 02:40:38.639716
ORD06826,2361,食品,34.62,2025-04-24 02:50:31.300996
ORD02397,836,食品,337.13,2025-04-24 02:58:32.752972
ORD08678,103,食品,94.41,2025-04-24 02:59:34.248336
ORD06226,966,电子产品,346.25,2025-04-24 03:00:07.762758
ORD09055,926,服装,250.42,2025-04-24 03:02:10.424487
ORD08465,544,家居用品,351.75,2025-04-24 03:02:29.381414
ORD08701,2823,服装,110.83,2025-04-24 03:04:29.186624
ORD06163,1148,家居用品,72.05,2025-04-24 03:04:31.316532
ORD05475,2118,图书,128.84,2025-04-24 03:08:17.923425
ORD02068,2111,食品,243.43,2025-04-24 03:12:13.522994
